,Token,POS
0,TechCorp,PROPN
1,",",PUNCT
2,a,DET
3,leading,VERB
4,tech,NOUN
5,company,NOUN
6,based,VERB
7,in,ADP
8,New,PROPN
9,York,PROPN
10,",",PUNCT
11,announced,VERB
12,on,ADP
13,Monday,PROPN
14,that,SCONJ
15,CEO,NOUN
16,Jane,PROPN
17,Doe,PROPN
18,plans,VERB
19,to,PART
20,introduce,VERB
21,a,DET
22,new,ADJ
23,AI,PROPN
24,-,PUNCT
25,powered,VERB
26,smartphone,NOUN
27,.,PUNCT
28,The,DET
29,device,NOUN
30,",",PUNCT
31,named,VERB
32,',PUNCT
33,Nexus,PROPN
34,X,NOUN
35,",",PUNCT
36,',PUNCT
37,will,AUX
38,debut,VERB
39,in,ADP
40,Paris,PROPN
41,next,ADJ
42,month,NOUN
43,.,PUNCT
44,Meanwhile,ADV
45,",",PUNCT
46,critics,NOUN
47,like,ADP
48,Dr.,PROPN
49,Mark,PROPN
50,Smith,PROPN
51,argue,VERB
52,that,SCONJ
53,the,DET
54,launch,NOUN
55,could,AUX
56,impact,VERB
57,environmental,ADJ
58,policies,NOUN
59,.,PUNCT
60,The,DET
61,company,NOUN
62,also,ADV
63,partnered,VERB
64,with,ADP
65,HealthOrg,PROPN
66,",",PUNCT
67,a,DET
68,nonprofit,NOUN
69,",",PUNCT
70,to,PART
71,promote,VERB
72,digital,ADJ
73,wellness,NOUN
74,.,PUNCT
75,Apple,PROPN
76,declined,VERB
77,to,PART
78,comment,VERB
79,on,ADP
80,the,DET
81,news,NOUN
82,.,PUNCT
83,The,DET
84,event,NOUN
85,will,AUX
86,coincide,VERB
87,with,ADP
88,the,DET
89,Global,PROPN
90,Tech,PROPN
91,Summit,PROPN
92,2024,NUM
93,.,PUNCT
94,Lionel,PROPN
95,Messi,PROPN
96,",",PUNCT
97,the,DET
98,Argentine,ADJ
99,footballer,NOUN
100,",",PUNCT
101,signed,VERB
102,a,DET
103,$,SYM
104,20,NUM
105,million,NUM
106,contract,NOUN
107,with,ADP
108,Miami,PROPN
109,FC,PROPN
110,on,ADP
111,July,PROPN
112,15,NUM
113,",",PUNCT
114,2023,NUM
115,.,PUNCT
116,The,DET
117,deal,NOUN
118,was,AUX
119,announced,VERB
120,during,ADP
121,a,DET
122,press,NOUN
123,conference,NOUN
124,at,ADP
125,Hard,PROPN
126,Rock,PROPN
127,Stadium,PROPN
128,in,ADP
129,Florida,PROPN
130,.,PUNCT
131,Fans,NOUN
132,from,ADP
133,across,ADP
134,South,PROPN
135,America,PROPN
136,flooded,VERB
137,social,ADJ
138,media,NOUN
139,to,PART
140,celebrate,VERB
141,the,DET
142,move,NOUN
143,.,PUNCT
144,President,PROPN
145,John,PROPN
146,Harper,PROPN
147,met,VERB
148,with,ADP
149,German,ADJ
150,Chancellor,PROPN
151,Angela,PROPN
152,Weber,PROPN
153,in,ADP
154,Berlin,PROPN
155,last,ADJ
156,Friday,PROPN
157,to,PART
158,discuss,VERB
159,NATO,PROPN
160,policies,NOUN
161,.,PUNCT
162,The,DET
163,United,PROPN
164,Nations,PROPN
165,will,AUX
166,host,VERB
167,a,DET
168,climate,NOUN
169,summit,NOUN
170,in,ADP
171,Geneva,PROPN
172,",",PUNCT
173,Switzerland,PROPN
174,",",PUNCT
175,in,ADP
176,December,PROPN
177,2025,NUM
178,.,PUNCT
179,Critics,NOUN
180,warn,VERB
181,that,SCONJ
182,the,DET
183,new,ADJ
184,tax,NOUN
185,law,NOUN
186,(,PUNCT
187,HB,PROPN
188,1420,NUM
189,),PUNCT
190,might,AUX
191,face,VERB
192,delays,NOUN
193,in,ADP
194,Congress,PROPN
195,.,PUNCT
196,Marie,PROPN
197,Curie,PROPN
198,",",PUNCT
199,born,VERB
200,in,ADP
201,Warsaw,PROPN
202,in,ADP
203,1867,NUM
204,",",PUNCT
205,discovered,VERB
206,radium,NOUN
207,and,CCONJ
208,won,VERB
209,the,DET
210,Nobel,PROPN
211,Prize,PROPN
212,in,ADP
213,Chemistry,PROPN
214,in,ADP
215,1911,NUM
216,.,PUNCT
217,In,ADP
218,',PUNCT
219,The,DET
220,Great,PROPN
221,Gatsby,PROPN
222,",",PUNCT
223,',PUNCT
224,Jay,PROPN
225,Gatsby,PROPN
226,hosts,NOUN
227,lavish,VERB
228,parties,NOUN
229,in,ADP
230,West,PROPN
231,Egg,PROPN
232,",",PUNCT
233,New,PROPN
234,York,PROPN
235,",",PUNCT
236,reflecting,VERB
237,the,DET
238,excesses,NOUN
239,of,ADP
240,the,DET
241,Jazz,PROPN
242,Age,PROPN
243,.,PUNCT
244,A,DET
245,recent,ADJ
246,study,NOUN
247,in,ADP
248,Nature,PROPN
249,Journal,PROPN
250,links,NOUN
251,sleep,NOUN
252,deprivation,NOUN
253,to,PART
254,decreased,VERB
255,cognitive,ADJ
256,performance,NOUN
257,.,PUNCT
